;CreatedDate;IsConnectedTrailer;AssetTypeId;SiteId;AssetId;IsDefaultImage;FmVehicleId;DefaultDriverId;Country;CreatedBy;UserState;AssetImageUrl;AssetImage;IconColour;Icon;VinNumber;Year;Model;Make;TargetHourlyFuelConsumptionUnits;TargetFuelConsumptionUnits;FuelType;RegistrationNumber;Description;EngineHours;Odometer;FuelTankCapacity;Notes
0;2024-07-08T12:34:37Z;False;12;-380400459068987791;1547007653687537664;True;15;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983825;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONU5399;20017;;;;
1;2024-04-09T13:11:33Z;False;11;-380400459068987791;1514402039761068032;True;11;-106647426425259773;BR;ADM Insteo;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus-articulated.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus-articulated.jpg;blue;bus-right;;2014;M.BENZ/INDUSCAR APACHE U;Mercedes Benz;l/h;km/l;Diesel;ONU6399;20018;P33DT5H8M28S;623096,563;;
2;2024-04-09T14:09:22Z;False;11;-380400459068987791;1514416590043295744;True;12;-106647426425259773;BR;Marcel Souza;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus-articulated.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus-articulated.jpg;blue;bus-right;;2014;M.BENZ/INDUSCAR APACHE U;Mercedes Benz;l/h;km/l;;ONW2749;20019;P33DT22H37M12S;584001,0;;
3;2024-04-09T17:52:46Z;False;11;-380400459068987791;1514472812174508032;True;13;-106647426425259773;BR;ADM Insteo;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus-articulated.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus-articulated.jpg;blue;bus-right;;2015;;Mercedes Benz;l/h;km/l;;ONQ9479;20021;P28DT8H6M22S;558961,7;;
4;2024-07-08T12:34:42Z;False;12;-380400459068987791;1547007675275620352;True;16;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983841;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONS4509;20022;;;;
5;2024-07-08T12:34:47Z;False;12;-380400459068987791;1547007697111060480;True;17;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983807;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONW2539;20023;;;;
6;2024-07-08T12:34:52Z;False;12;-380400459068987791;1547007718942412800;True;18;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983620;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONU8249;20024;;;;
7;2024-07-08T12:34:57Z;False;12;-380400459068987791;1547007737934327808;True;19;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983828;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONU6019;20025;;;;
8;2024-07-08T12:35:01Z;False;12;-380400459068987791;1547007756837949440;True;20;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983642;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONU5719;20026;;;;
9;2024-07-08T12:35:07Z;False;12;-380400459068987791;1547007780355411968;True;21;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983640;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONV4839;20027;;;;
10;2024-07-08T12:35:12Z;False;12;-380400459068987791;1547007800936968192;True;22;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983832;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2902;20028;;;;
11;2024-07-08T12:35:17Z;False;12;-380400459068987791;1547007821862350848;True;23;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983470;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA3622;20029;;;;
12;2024-07-08T12:35:22Z;False;12;-380400459068987791;1547007842317971456;False;24;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/1547007842317971456.jpeg?width=200&height=200&mode=crop;1547007842317971456.jpeg;blue;truck-right;9BM384078FB983818;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2572;20030;P1DT3H10M43S;588677,4;;
13;2024-07-08T12:35:27Z;False;12;-380400459068987791;1547007864895909888;True;25;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983856;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONL9659;20031;;;;
14;2024-07-08T12:35:32Z;False;12;-380400459068987791;1547007885749989376;True;26;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983802;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2522;20032;;;;
15;2024-07-08T12:35:37Z;False;12;-380400459068987791;1547007905811238912;True;27;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983852;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONM9659;20033;;;;
16;2024-07-08T12:35:42Z;False;12;-380400459068987791;1547007927844024320;True;28;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983626;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONQ5329;20034;;;;
17;2024-07-08T12:35:48Z;False;12;-380400459068987791;1547007950258384896;True;29;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983681;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONQ5189;20035;;;;
18;2024-07-08T12:35:53Z;False;12;-380400459068987791;1547007970957275136;True;30;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983819;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN4829;20036;;;;
19;2024-07-08T12:35:58Z;False;12;-380400459068987791;1547007991844909056;True;31;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983249;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN6309;20037;;;;
20;2024-07-08T12:36:02Z;False;12;-380400459068987791;1547008012606607360;True;32;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983418;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA3612;20038;;;;
21;2024-07-08T12:36:08Z;False;12;-380400459068987791;1547008033712451584;True;33;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983466;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA3632;20039;;;;
22;2024-07-08T12:36:13Z;False;12;-380400459068987791;1547008054725914624;True;34;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983830;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONM8329;20040;;;;
23;2024-07-08T12:36:18Z;False;12;-380400459068987791;1547008075705823232;True;35;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983862;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONK3499;20041;;;;
24;2024-07-08T12:36:23Z;False;12;-380400459068987791;1547008099118428160;True;36;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983801;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONM9259;20042;;;;
25;2024-07-08T12:36:29Z;False;12;-380400459068987791;1547008121985667072;True;37;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983652;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONH8769;20043;;;;
26;2024-07-08T12:36:33Z;False;12;-380400459068987791;1547008141124382720;True;38;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983885;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2622;20044;;;;
27;2024-07-08T12:36:38Z;False;12;-380400459068987791;1547008160460124160;True;39;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983911;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONH7579;20045;;;;
28;2024-07-08T12:36:42Z;False;12;-380400459068987791;1547008179883945984;True;40;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983864;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA3642;20046;;;;
29;2024-07-08T12:36:48Z;False;12;-380400459068987791;1547008201484505088;True;41;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983915;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONH9269;20047;;;;
30;2024-04-09T18:23:55Z;False;11;-380400459068987791;1514480648201252864;False;14;-106647426425259773;BR;ADM Insteo;Available;https://us.mixtelematics.com/images/Uploads/Assets/1514480648201252864.jpeg?width=200&height=200&mode=crop;1514480648201252864.jpeg;blue;bus-right;;2015;;Mercedes Benz;l/h;km/l;Electric;PQA2792;20048;P40DT2H48M27S;495953,1;0,0;
31;2024-07-08T12:36:52Z;False;12;-380400459068987791;1547008220472225792;True;42;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983899;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONM9549;20049;PT3H26M13S;540047,4;;
32;2024-07-08T12:36:57Z;False;12;-380400459068987791;1547008241858981888;True;43;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983909;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN3489;20050;;;;
33;2024-07-08T12:37:02Z;False;12;-380400459068987791;1547008263849717760;True;44;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983893;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN3829;20051;;;;
34;2024-07-08T12:37:07Z;False;12;-380400459068987791;1547008285131616256;True;45;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983903;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN4769;20052;;;;
35;2024-07-08T12:37:13Z;False;12;-380400459068987791;1547008307126439936;True;46;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983895;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONQ4279;20053;;;;
36;2024-07-08T12:37:18Z;False;12;-380400459068987791;1547008328248954880;True;47;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983878;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2542;20054;;;;
37;2024-07-08T12:37:22Z;False;12;-380400459068987791;1547008346980823040;True;48;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983926;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2872;20055;;;;
38;2024-07-08T12:37:27Z;False;12;-380400459068987791;1547008368744960000;True;49;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983880;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN4379;20056;PT13H3M25S;478383,6;;
39;2024-07-08T12:37:33Z;False;12;-380400459068987791;1547008391432056832;True;50;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983874;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN4299;20057;;;;
40;2024-07-08T12:37:38Z;False;12;-380400459068987791;1547008412541882368;True;51;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983913;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2172;20058;;;;
41;2024-07-08T12:37:43Z;False;12;-380400459068987791;1547008433752477696;True;52;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983919;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN0429;20059;;;;
42;2024-07-08T12:37:48Z;False;12;-380400459068987791;1547008453927079936;True;53;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983882;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONK4089;20060;;;;
43;2024-07-08T12:37:52Z;False;12;-380400459068987791;1547008473392844800;True;54;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983887;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2782;20061;PT11H24M23S;199,44;;
44;2024-07-08T12:37:57Z;False;12;-380400459068987791;1547008494737657856;True;55;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983928;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2862;20062;;;;
45;2024-07-08T12:38:03Z;False;12;-380400459068987791;1547008516543844352;True;56;-106647426425259773;BR;Thiago Moreira;Decommissioned;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2842;20063;;;;
46;2024-07-08T12:38:12Z;False;12;-380400459068987791;1547008554183634944;True;57;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983816;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN4139;20064;;;;
47;2024-07-08T12:38:17Z;False;12;-380400459068987791;1547008575012442112;True;58;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983839;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONN3579;20065;;;;
48;2024-07-08T12:38:22Z;False;12;-380400459068987791;1547008597632430080;True;59;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983923;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONQ5079;20066;;;;
49;2024-07-08T12:38:28Z;False;12;-380400459068987791;1547008625008545792;True;60;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983860;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONQ4399;20067;PT3H44M18S;59,746;;
50;2024-07-08T12:38:34Z;False;12;-380400459068987791;1547008648899301376;True;61;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983805;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;ONM8479;20068;;;;
51;2024-07-08T12:38:39Z;False;12;-380400459068987791;1547008671083081728;True;62;-106647426425259773;BR;Thiago Moreira;Available;https://us.mixtelematics.com/images/Uploads/Assets/asset-heavy-passenger-vehicle-bus.jpg?width=150&height=150&mode=crop;asset-heavy-passenger-vehicle-bus.jpg;blue;truck-right;9BM384078FB983631;2014;OF-1721;Mercedes Benz;l/h;km/l;Diesel;PQA2762;20069;;;;
